Series_Title,Released_Year,Certificate,Runtime,Genre,IMDB_Rating,Meta_score,No_of_Votes,Gross,Predicted_Gross,Rating_Score
Jungfruk盲llan,1960.0,A,89,Drama,8.1,77.97153024911032,26697,1526000.0,-19814796.340204954,7.948576512455515
Ben-Hur,1959.0,U,212,"Adventure, Drama, History",8.1,90.0,219466,74700000.0,26308501.7430954,8.55
The Bridge on the River Kwai,1957.0,PG,161,"Adventure, Drama, War",8.1,87.0,203463,44908000.0,22479508.807368875,8.399999999999999
On the Waterfront,1954.0,A,108,"Crime, Drama, Thriller",8.1,91.0,142107,9600000.0,7799030.736730099,8.6
Ace in the Hole,1951.0,Approved,111,"Drama, Film-Noir",8.1,72.0,31568,3969893.0,-18649325.829055548,7.65
The Third Man,1949.0,Approved,104,"Film-Noir, Mystery, Thriller",8.1,97.0,158731,449191.0,11776608.601100326,8.899999999999999
Rebecca,1940.0,Approved,130,"Drama, Mystery, Romance",8.1,86.0,123942,4360000.0,3452742.123503089,8.35
Mr. Smith Goes to Washington,1939.0,Passed,129,"Comedy, Drama",8.1,73.0,107017,9600000.0,-596855.1668281555,7.699999999999999
Gone with the Wind,1939.0,U,238,"Drama, History, Romance",8.1,97.0,290074,198676459.0,43202679.91005004,8.899999999999999
It Happened One Night,1934.0,Approved,105,"Comedy, Romance",8.1,87.0,94016,4360000.0,-3707567.980511785,8.399999999999999
La passion de Jeanne d'Arc,1928.0,Passed,110,"Biography, Drama, History",8.1,77.97153024911032,47676,21877.0,-14795209.837761402,7.948576512455515
Sunrise: A Song of Two Humans,1927.0,Passed,94,"Drama, Romance",8.1,77.97153024911032,46865,539540.0,-14989255.53362298,7.948576512455515
The General,1926.0,Passed,67,"Action, Adventure, Comedy",8.1,77.97153024911032,81156,1033895.0,-6784544.119575858,7.948576512455515
Bajrangi Bhaijaan,2015.0,UA,163,"Action, Adventure, Comedy",8.0,77.97153024911032,72245,8178001.0,3370852.367237687,7.898576512455516
La La Land,2016.0,A,128,"Comedy, Drama, Music",8.0,94.0,505918,151101803.0,107134575.00769912,8.7
Lion,2016.0,U,118,"Biography, Drama",8.0,69.0,213970,51739495.0,37280995.7038517,7.45
The Martian,2015.0,UA,144,"Adventure, Drama, Sci-Fi",8.0,80.0,760094,228433663.0,167950553.78862846,8.0
Zootopia,2016.0,U,108,"Animation, Adventure, Comedy",8.0,78.0,434143,341268248.0,89961172.0231483,7.9
B茫hubali: The Beginning,2015.0,UA,159,"Action, Drama",8.0,77.97153024911032,102972,6738000.0,10722815.495155454,7.898576512455516
Kaguyahime no monogatari,2013.0,U,137,"Animation, Adventure, Drama",8.0,89.0,38746,1506975.0,-4644359.427669525,8.45
Wonder,2017.0,U,113,"Drama, Family",8.0,66.0,141923,132422809.0,20042512.04202044,7.3
Gully Boy,2019.0,UA,154,"Drama, Music, Romance",8.0,65.0,31886,5566534.0,-6285732.39143157,7.25
Special Chabbis,2013.0,UA,144,"Crime, Drama, Thriller",8.0,77.97153024911032,51069,1079369.0,-1695869.7727950811,7.898576512455516
Short Term 12,2013.0,R,96,Drama,8.0,82.0,81770,1010414.0,5649872.408029676,8.1
Serbuan maut 2: Berandal,2014.0,A,150,"Action, Crime, Thriller",8.0,71.0,114316,2625803.0,13437062.565259814,7.55
The Imitation Game,2014.0,UA,114,"Biography, Drama, Thriller",8.0,73.0,685201,91125683.0,150031115.68731225,7.65
Guardians of the Galaxy,2014.0,UA,121,"Action, Adventure, Comedy",8.0,76.0,1043455,333176600.0,235749545.68142283,7.8
Blade Runner 2049,2017.0,UA,164,"Action, Drama, Mystery",8.0,81.0,461823,92054159.0,96584088.00520848,8.05
Her,2013.0,A,126,"Drama, Romance, Sci-Fi",8.0,90.0,540772,25568251.0,115473993.8530289,8.5
Bohemian Rhapsody,2018.0,UA,134,"Biography, Drama, Music",8.0,49.0,450349,216428042.0,93838736.1996392,6.45
The Revenant,2015.0,A,156,"Action, Adventure, Drama",8.0,76.0,705589,183637894.0,154909295.27698863,7.8
The Perks of Being a Wallflower,2012.0,UA,103,"Drama, Romance",8.0,67.0,462252,17738570.0,96686733.63224256,7.35
The King's Speech,2010.0,U,118,"Biography, Drama, History",8.0,88.0,639603,138797449.0,139121010.0894084,8.4
The Help,2011.0,UA,146,Drama,8.0,62.0,428521,169708112.0,88616011.84789026,7.1
Deadpool,2016.0,R,108,"Action, Adventure, Comedy",8.0,65.0,902669,363070709.0,202064074.2417436,7.25
Darbareye Elly,2009.0,TV-PG,119,"Drama, Mystery",8.0,87.0,45803,106662.0,-2955850.8263185024,8.35
Dev.D,2009.0,A,144,"Drama, Romance",8.0,77.97153024911032,28749,10950.0,-7036313.584918737,7.898576512455516
My Name Is Khan,2010.0,UA,165,Drama,8.0,50.0,98575,4018695.0,9670757.634854913,6.5
Slumdog Millionaire,2008.0,UA,120,"Drama, Romance",8.0,84.0,798882,141319928.0,177231249.78256452,8.2
Black Swan,2010.0,A,108,"Drama, Thriller",8.0,79.0,699673,106954678.0,153493790.5461408,7.95
Tropa de Elite,2007.0,R,115,"Action, Crime, Drama",8.0,33.0,98097,8060.0,9556387.915222526,5.65
The Avengers,2012.0,UA,143,"Action, Adventure, Sci-Fi",8.0,69.0,1260806,623279547.0,287754509.9739357,7.45
Persepolis,2007.0,PG-13,96,"Animation, Biography, Drama",8.0,90.0,88656,4445756.0,7297466.31888473,8.5
Dallas Buyers Club,2013.0,R,117,"Biography, Drama",8.0,80.0,441614,27298285.0,91748737.24359524,8.0
The Pursuit of Happyness,2006.0,U,117,"Biography, Drama",8.0,64.0,448930,163566459.0,93499216.0486802,7.2
Blood Diamond,2006.0,A,143,"Adventure, Drama, Thriller",8.0,64.0,499439,57366262.0,105584362.84556878,7.2
The Bourne Ultimatum,2007.0,UA,115,"Action, Mystery, Thriller",8.0,85.0,604694,227471070.0,130768431.54830515,8.25
Bin-jip,2004.0,U,88,"Crime, Drama, Romance",8.0,72.0,50610,238507.0,-1805693.4157056808,7.6
Sin City,2005.0,A,124,"Crime, Thriller",8.0,74.0,738512,74103820.0,162786689.16706693,7.7
Le scaphandre et le papillon,2007.0,PG-13,112,"Biography, Drama",8.0,92.0,103284,5990075.0,10797466.860271096,8.6
Ratatouille,2007.0,U,111,"Animation, Adventure, Comedy",8.0,96.0,641645,206445654.0,139609593.70340288,8.8
Casino Royale,2006.0,PG-13,144,"Action, Adventure, Thriller",8.0,80.0,582239,167445960.0,125395686.66473722,8.0
Kill Bill: Vol. 2,2004.0,A,137,"Action, Crime, Thriller",8.0,83.0,683900,66208183.0,149719829.0654676,8.15
Bom Yeoareum Gaeul Gyeoul Geurigo Bom,2003.0,R,103,"Drama, Romance",8.0,85.0,77520,2380788.0,4632986.825524092,8.25
Mar adentro,2014.0,U,126,"Biography, Drama",8.0,74.0,77554,2086345.0,4641121.910184145,7.7
Cinderella Man,2005.0,UA,144,"Biography, Drama, History",8.0,69.0,176151,61649911.0,28232149.62272692,7.45
Kal Ho Naa Ho,2003.0,U,186,"Comedy, Drama, Musical",8.0,54.0,63460,1787378.0,1268890.0513995886,6.7
Mou gaan dou,2002.0,UA,101,"Action, Crime, Drama",8.0,75.0,117857,169659.0,14284307.70588398,7.75
Pirates of the Caribbean: The Curse of the Black Pearl,2003.0,UA,143,"Action, Adventure, Fantasy",8.0,63.0,1015122,305413918.0,228970388.22045064,7.15
Big Fish,2003.0,U,125,"Adventure, Drama, Fantasy",8.0,58.0,415218,66257002.0,85433040.34104979,6.9
The Incredibles,2004.0,U,115,"Animation, Action, Adventure",8.0,90.0,657047,261441092.0,143294787.0544033,8.5
Dogville,2003.0,R,178,"Crime, Drama",8.0,60.0,137963,1530386.0,19095013.94632113,7.0
Donnie Darko,2001.0,R,113,"Drama, Mystery, Sci-Fi",8.0,88.0,740086,1480006.0,163163295.73338783,8.4
Magnolia,1999.0,R,188,Drama,8.0,77.0,289742,22455976.0,55410749.6703496,7.85
Dancer in the Dark,2000.0,U,140,"Crime, Drama, Musical",8.0,61.0,102285,4184036.0,10558438.931583283,7.05
The Straight Story,1999.0,U,112,"Biography, Drama",8.0,86.0,82002,6203044.0,5705382.397474766,8.3
P芒fekuto bur没,1997.0,A,81,"Animation, Crime, Mystery",8.0,77.97153024911032,58192,776665.0,8430.463484406471,7.898576512455516
Festen,1998.0,R,105,Drama,8.0,82.0,78341,1647780.0,4829425.193344593,8.1
Central do Brasil,1998.0,R,110,Drama,8.0,80.0,36419,5595428.0,-5201134.192490935,8.0
The Iron Giant,1999.0,PG,86,"Animation, Action, Adventure",8.0,85.0,172083,23159305.0,27258810.669872165,8.25
Sling Blade,1996.0,R,135,Drama,8.0,84.0,86838,24475416.0,6862478.556768179,8.2
Secrets & Lies,1996.0,U,136,"Comedy, Drama",8.0,91.0,37564,13417292.0,-4927173.253204107,8.55
Twelve Monkeys,1995.0,A,129,"Mystery, Sci-Fi, Thriller",8.0,74.0,578443,57141459.0,124487428.38916278,7.7
K么kaku Kid么tai,1995.0,UA,83,"Animation, Action, Crime",8.0,76.0,129231,515905.0,17005732.791864872,7.8
The Nightmare Before Christmas,1993.0,U,76,"Animation, Family, Fantasy",8.0,82.0,300208,75082668.0,57914920.142468095,8.1
Groundhog Day,1993.0,U,101,"Comedy, Fantasy, Romance",8.0,72.0,577991,70906973.0,124379279.6166234,7.6
Bound by Honor,1993.0,R,180,"Crime, Drama",8.0,47.0,28825,4496583.0,-7018129.278031468,6.35
Scent of a Woman,1992.0,UA,156,Drama,8.0,59.0,263918,63895607.0,49231913.60384953,6.95
Aladdin,1992.0,U,90,"Animation, Adventure, Comedy",8.0,86.0,373845,217350219.0,75533838.64575446,8.3
JFK,1991.0,UA,189,"Drama, History, Thriller",8.0,72.0,142110,70405498.0,20087255.007650733,7.6
Beauty and the Beast,1991.0,G,84,"Animation, Family, Fantasy",8.0,95.0,417178,218967620.0,85902004.04498172,8.75
Dances with Wolves,1990.0,U,181,"Adventure, Drama, Western",8.0,72.0,240266,184208848.0,43572765.88680887,7.6
Do the Right Thing,1989.0,R,120,"Comedy, Drama",8.0,93.0,89429,27545445.0,7482419.861302733,8.65
Rain Man,1988.0,U,133,Drama,8.0,65.0,473064,178800000.0,99273690.55413689,7.25
Akira,1988.0,UA,124,"Animation, Action, Sci-Fi",8.0,77.97153024911032,164918,553171.0,25544461.21136558,7.898576512455516
The Princess Bride,1987.0,U,98,"Adventure, Family, Fantasy",8.0,77.0,393899,30857814.0,80332102.9920057,7.85
Der Himmel 眉ber Berlin,1987.0,U,128,"Drama, Fantasy, Romance",8.0,79.0,64722,3333969.0,1570845.2526048422,7.95
Au revoir les enfants,1987.0,U,104,"Drama, War",8.0,88.0,31163,4542825.0,-6458722.574055433,8.4
The Terminator,1984.0,UA,107,"Action, Sci-Fi",8.0,84.0,799795,38400000.0,177449700.73240626,8.2
Gandhi,1982.0,U,191,"Biography, Drama, History",8.0,79.0,217664,52767889.0,38164848.72544599,7.95
Being There,1979.0,PG,130,"Comedy, Drama",8.0,83.0,65625,30177511.0,1786903.5304877758,8.15
Annie Hall,1977.0,A,93,"Comedy, Romance",8.0,92.0,251823,39200000.0,46337976.869636536,8.6
Jaws,1975.0,A,124,"Adventure, Thriller",8.0,87.0,543388,260000000.0,116099916.83746052,8.35
Dog Day Afternoon,1975.0,U,125,"Biography, Crime, Drama",8.0,86.0,235652,50000000.0,42468787.04500151,8.3
Young Frankenstein,1974.0,A,106,Comedy,8.0,80.0,143359,86300000.0,20386099.73530948,8.0
Papillon,1973.0,R,151,"Biography, Crime, Drama",8.0,58.0,121627,53267000.0,15186345.034365416,6.9
The Exorcist,1973.0,A,122,Horror,8.0,81.0,362393,232906145.0,72793750.71849453,8.05
Sleuth,1972.0,PG,138,"Mystery, Thriller",8.0,77.97153024911032,44748,4081254.0,-3208277.717975736,7.898576512455516
The Last Picture Show,1971.0,R,118,"Drama, Romance",8.0,93.0,42456,29133000.0,-3756678.1309411526,8.65
Fiddler on the Roof,1971.0,G,181,"Drama, Family, Musical",8.0,67.0,39491,80500000.0,-4466105.366736293,7.35
Il conformista,1970.0,UA,113,Drama,8.0,100.0,27067,541940.0,-7438761.008395076,9.0
Butch Cassidy and the Sundance Kid,1969.0,PG,110,"Biography, Crime, Drama",8.0,66.0,201888,102308889.0,34390169.44318509,7.3
Planet of the Apes,1968.0,U,112,"Adventure, Sci-Fi",8.0,79.0,165167,33395426.0,25604038.743140697,7.95
The Graduate,1967.0,A,106,"Comedy, Drama, Romance",8.0,83.0,253676,104945305.0,46781338.98360896,8.15
The Sound of Music,1965.0,U,172,"Biography, Drama, Family",8.0,63.0,205425,163214286.0,35236457.515025735,7.15
Doctor Zhivago,1965.0,A,197,"Drama, Romance, War",8.0,69.0,69903,111722000.0,2810488.5944781303,7.45
Per un pugno di dollari,1964.0,A,99,"Action, Drama, Western",8.0,65.0,198219,14500000.0,33512298.101487875,7.25
The Hustler,1961.0,A,134,"Drama, Sport",8.0,90.0,75067,8284000.0,4046064.394021392,8.5
La dolce vita,1960.0,A,174,"Comedy, Drama",8.0,95.0,66621,19516000.0,2025213.6575878856,8.75
Rio Bravo,1959.0,Passed,141,"Action, Drama, Western",8.0,93.0,56305,12535000.0,-443066.7351480722,8.65
Touch of Evil,1958.0,PG-13,95,"Crime, Drama, Film-Noir",8.0,99.0,98431,2237659.0,9636303.158647656,8.95
Cat on a Hot Tin Roof,1958.0,A,108,Drama,8.0,84.0,45062,17570324.0,-3133147.8184683323,8.2
A Streetcar Named Desire,1951.0,A,122,Drama,8.0,97.0,99182,8000000.0,9815992.82275629,8.85
Laura,1944.0,Passed,88,"Drama, Film-Noir, Mystery",8.0,77.97153024911032,42725,4360000.0,-3692315.2552484274,7.898576512455516
The Best Years of Our Lives,1946.0,Approved,170,"Drama, Romance, War",8.0,93.0,57259,23650000.0,-214805.83027505875,8.65
The Grapes of Wrath,1940.0,Passed,129,"Drama, History",8.0,96.0,85559,55000.0,6556455.813233018,8.8
The Wizard of Oz,1939.0,U,102,"Adventure, Family, Fantasy",8.0,92.0,371379,2076020.0,74943805.74070525,8.6
All Quiet on the Western Front,1930.0,U,152,"Drama, War",8.0,91.0,57318,3270000.0,-200689.0657179356,8.55
Knives Out,2019.0,UA,130,"Comedy, Crime, Drama",7.9,82.0,454203,165359751.0,107048378.44190788,8.05
Manbiki kazoku,2018.0,A,121,"Crime, Drama",7.9,93.0,62754,3313513.0,13387473.880438684,8.600000000000001
Marriage Story,2019.0,U,137,"Comedy, Drama, Romance",7.9,94.0,246644,2000000.0,57386318.53148794,8.65
Call Me by Your Name,2017.0,UA,132,"Drama, Romance",7.9,93.0,212651,18095701.0,49252908.74181414,8.600000000000001
"I, Daniel Blake",2016.0,UA,100,Drama,7.9,78.0,53818,258168.0,11249382.218022227,7.85
Isle of Dogs,2018.0,U,101,"Animation, Adventure, Comedy",7.9,82.0,139114,32015231.0,31657916.958116293,8.05
Hunt for the Wilderpeople,2016.0,UA,101,"Adventure, Comedy, Drama",7.9,81.0,111483,5202582.0,25046725.068654414,8.0
Captain Fantastic,2016.0,R,118,"Comedy, Drama",7.9,72.0,189400,5875006.0,43689707.170322776,7.550000000000001
Sing Street,2016.0,PG-13,106,"Comedy, Drama, Music",7.9,79.0,85109,3237118.0,18736292.04441833,7.9
Thor: Ragnarok,2017.0,UA,130,"Action, Adventure, Comedy",7.9,74.0,587775,315058289.0,139007776.33048224,7.65
Nightcrawler,2014.0,A,117,"Crime, Drama, Thriller",7.9,76.0,466134,32381218.0,109903075.355996,7.75
Jojo Rabbit,2019.0,UA,108,"Comedy, Drama, War",7.9,58.0,297918,349555.0,69654504.73322749,6.85
Arrival,2016.0,UA,116,"Drama, Sci-Fi",7.9,81.0,594181,100546139.0,140540521.98731315,8.0
Star Wars: Episode VII - The Force Awakens,2015.0,U,138,"Action, Adventure, Sci-Fi",7.9,80.0,860823,936662225.0,204339205.63212824,7.95
Before Midnight,2013.0,R,109,"Drama, Romance",7.9,94.0,141457,8114627.0,32218519.99807167,8.65
X-Men: Days of Future Past,2014.0,UA,132,"Action, Adventure, Sci-Fi",7.9,75.0,659763,233921534.0,156232143.22775638,7.7
The Artist,2011.0,U,100,"Comedy, Drama, Romance",7.9,89.0,230624,44671682.0,53553258.05343139,8.4
Edge of Tomorrow,2014.0,UA,113,"Action, Adventure, Sci-Fi",7.9,71.0,600004,100206256.0,141933774.8689437,7.5
Amour,2012.0,UA,127,"Drama, Romance",7.9,94.0,93090,6739492.0,20645883.53476596,8.65
The Irishman,2019.0,R,209,"Biography, Crime, Drama",7.9,94.0,324720,7000000.0,76067344.11730182,8.65
Un proph猫te,2009.0,A,155,"Crime, Drama",7.9,90.0,93560,2084637.0,20758339.116831303,8.45
Moon,2009.0,R,97,"Drama, Mystery, Sci-Fi",7.9,67.0,335152,5009677.0,78563379.50476038,7.300000000000001
L氓t den r盲tte komma in,2008.0,R,114,"Crime, Drama, Fantasy",7.9,82.0,205609,2122065.0,47567989.14840126,8.05
District 9,2009.0,A,112,"Action, Sci-Fi, Thriller",7.9,81.0,638202,115646235.0,151073303.2173084,8.0
The Wrestler,2008.0,UA,109,"Drama, Sport",7.9,80.0,289415,26236603.0,67620015.76662862,7.95
Jab We Met,2007.0,U,138,"Comedy, Drama, Romance",7.9,77.97153024911032,47720,410800.0,9790330.85752356,7.848576512455516
Boyhood,2014.0,A,165,Drama,7.9,100.0,335533,25379975.0,78654540.30639207,8.95
Star Trek,2009.0,UA,127,"Action, Adventure, Sci-Fi",7.9,82.0,577336,257730019.0,136510066.07265258,8.05
In Bruges,2008.0,R,107,"Comedy, Crime, Drama",7.9,67.0,390334,7757130.0,91766621.90801334,7.300000000000001
Letters from Iwo Jima,2006.0,UA,141,"Action, Adventure, Drama",7.9,89.0,154011,13756082.0,35222280.375195384,8.4
The Fall,2006.0,R,117,"Adventure, Drama, Fantasy",7.9,64.0,107290,2280348.0,24043477.71631408,7.15
Life of Pi,2012.0,U,127,"Adventure, Drama, Fantasy",7.9,79.0,580708,124987023.0,137316875.0571723,7.9
Fantastic Mr. Fox,2009.0,PG,87,"Animation, Adventure, Comedy",7.9,83.0,199696,21002919.0,46153202.219141126,8.100000000000001
Les choristes,2004.0,PG-13,97,"Drama, Music",7.9,56.0,57430,3635164.0,12113615.32955408,6.75
Iron Man,2008.0,UA,126,"Action, Adventure, Sci-Fi",7.9,79.0,939644,318412101.0,223198485.27887547,7.9
Shaun of the Dead,2004.0,UA,99,"Comedy, Horror",7.9,76.0,512249,13542874.0,120936882.09417176,7.75
Mystic River,2003.0,A,138,"Crime, Drama, Mystery",7.9,84.0,419420,90135191.0,98725947.56748591,8.15
Harry Potter and the Prisoner of Azkaban,2004.0,U,142,"Adventure, Family, Fantasy",7.9,82.0,552493,249358727.0,130565951.12531435,8.05
Ying xiong,2002.0,PG-13,120,"Action, Adventure, History",7.9,85.0,173999,53710019.0,40004753.08651829,8.2
Hable con ella,2002.0,R,112,"Drama, Mystery, Romance",7.9,86.0,104691,9284265.0,23421622.27421248,8.25
No Man's Land,2001.0,R,98,"Comedy, Drama, War",7.9,84.0,44618,1059830.0,9048124.015892386,8.15
Cowboy Bebop: Tengoku no tobira,2001.0,U,115,"Animation, Action, Crime",7.9,61.0,42897,1000045.0,8636345.171776533,7.0
The Bourne Identity,2002.0,UA,119,"Action, Mystery, Thriller",7.9,68.0,508771,121661683.0,120104710.78688836,7.35
Nueve reinas,2000.0,R,114,"Crime, Drama, Thriller",7.9,80.0,49721,1221261.0,10269104.516486764,7.95
Children of Men,2006.0,A,109,"Adventure, Drama, Sci-Fi",7.9,84.0,465113,35552383.0,109658783.54899883,8.15
Almost Famous,2000.0,A,122,"Adventure, Comedy, Drama",7.9,90.0,252586,32534850.0,58808044.20942879,8.45
Mulholland Dr.,2001.0,R,147,"Drama, Mystery, Thriller",7.9,85.0,322031,7220243.0,75423954.62757063,8.2
Toy Story 2,1999.0,U,92,"Animation, Adventure, Comedy",7.9,88.0,527512,245852179.0,124588817.30494428,8.350000000000001
Boogie Nights,1997.0,R,155,Drama,7.9,85.0,239473,26400640.0,55670533.46980608,8.2
Once Were Warriors,1994.0,A,102,"Crime, Drama",7.9,77.0,31590,2201126.0,5930950.987919807,7.800000000000001
True Romance,1993.0,R,119,"Crime, Drama, Romance",7.9,59.0,206918,12281500.0,47881189.90781307,6.9
Trois couleurs: Bleu,1993.0,U,94,"Drama, Music, Mystery",7.9,85.0,89836,1324974.0,19867308.079360485,8.2
Carlito's Way,1993.0,A,144,"Crime, Drama, Thriller",7.9,65.0,201000,36948322.0,46465206.64257348,7.2
Edward Scissorhands,1990.0,U,105,"Drama, Fantasy, Romance",7.9,74.0,447368,56362352.0,105412987.15804292,7.65
My Left Foot: The Story of Christy Brown,1989.0,U,103,"Biography, Drama",7.9,97.0,68076,14743391.0,14660853.896931648,8.8
Crimes and Misdemeanors,1989.0,PG-13,104,"Comedy, Drama",7.9,77.0,54670,18254702.0,11453237.86891508,7.800000000000001
The Untouchables,1987.0,A,119,"Crime, Drama, Thriller",7.9,79.0,281842,76270454.0,65808045.29220152,7.9
Hannah and Her Sisters,1986.0,PG-13,107,"Comedy, Drama",7.9,90.0,67176,40084041.0,14445513.420636296,8.45
Brazil,1985.0,U,132,"Drama, Sci-Fi",7.9,84.0,187567,9929135.0,43251130.40026796,8.15
This Is Spinal Tap,1984.0,R,82,"Comedy, Music",7.9,92.0,128812,188751.0,29192986.30612266,8.55
A Christmas Story,1983.0,U,93,"Comedy, Family",7.9,77.0,132947,20605209.0,30182356.16110158,7.800000000000001
The Blues Brothers,1980.0,U,133,"Action, Adventure, Comedy",7.9,60.0,183182,57229890.0,42201943.7463181,6.95
Manhattan,1979.0,R,96,"Comedy, Drama, Romance",7.9,83.0,131436,45700000.0,29820823.42812133,8.100000000000001
All That Jazz,1979.0,A,123,"Drama, Music, Musical",7.9,72.0,28223,37823676.0,5125338.339379549,7.550000000000001
Dawn of the Dead,1978.0,A,127,"Action, Adventure, Horror",7.9,71.0,111512,5100000.0,25053663.81733501,7.5
All the President's Men,1976.0,U,138,"Biography, Drama, History",7.9,84.0,103031,70600000.0,23024438.72904551,8.15
La monta帽a sagrada,1973.0,R,114,"Adventure, Drama, Fantasy",7.9,76.0,37183,61001.0,7269172.414497256,7.75
Le charme discret de la bourgeoisie,1972.0,PG,102,Comedy,7.9,93.0,38737,198809.0,7640993.636900425,8.600000000000001
Patton,1970.0,U,172,"Biography, Drama, War",7.9,91.0,93741,61700000.0,20801646.479286198,8.5
The Wild Bunch,1969.0,A,145,"Action, Adventure, Western",7.9,97.0,77401,12064472.0,16892020.498546958,8.8
The Lion in Winter,1968.0,PG,134,"Biography, Drama, History",7.9,77.97153024911032,29003,22276975.0,5311966.752168775,7.848576512455516
In the Heat of the Night,1967.0,U,110,"Crime, Drama, Mystery",7.9,75.0,67804,24379978.0,14595773.21965134,7.7
Charade,1963.0,U,113,"Comedy, Mystery, Romance",7.9,83.0,68689,13474588.0,14807524.688008308,8.100000000000001
Spartacus,1960.0,A,197,"Adventure, Biography, Drama",7.9,87.0,124339,30000000.0,28122744.13893497,8.3
The Ten Commandments,1956.0,U,220,"Adventure, Drama",7.9,77.97153024911032,63560,93740000.0,13580323.24032092,7.848576512455516
High Noon,1952.0,PG,85,"Drama, Thriller, Western",7.9,89.0,97222,9450000.0,21634535.588157296,8.4
Strangers on a Train,1951.0,A,101,"Crime, Film-Noir, Thriller",7.9,88.0,123341,7630000.0,27883955.47744298,8.350000000000001
Notorious,1946.0,U,102,"Drama, Film-Noir, Romance",7.9,100.0,92306,10464000.0,20458298.05319309,8.95
The Big Sleep,1946.0,Passed,114,"Crime, Film-Noir, Mystery",7.9,77.97153024911032,78796,6540000.0,17225798.236804605,7.848576512455516
The Lost Weekend,1945.0,Passed,101,"Drama, Film-Noir",7.9,77.97153024911032,33549,9460000.0,6399675.424655914,7.848576512455516
His Girl Friday,1940.0,Passed,92,"Comedy, Drama, Romance",7.9,77.97153024911032,53667,296000.0,11213252.871443748,7.848576512455516
The Adventures of Robin Hood,1938.0,PG,102,"Action, Adventure, Romance",7.9,97.0,47175,3981000.0,9659930.235766888,8.8
A Night at the Opera,1935.0,Passed,96,"Comedy, Music, Musical",7.9,77.97153024911032,30580,2537520.0,5689291.120077372,7.848576512455516
King Kong,1933.0,Passed,100,"Adventure, Horror, Sci-Fi",7.9,90.0,78991,10000000.0,17272455.34000194,8.45
Forushande,2016.0,UA,124,Drama,7.8,85.0,51240,2402067.0,22920057.85636723,8.15
Dunkirk,2017.0,UA,106,"Action, Drama, History",7.8,94.0,555092,188373161.0,143475313.03674924,8.6
Hidden Figures,2016.0,UA,127,"Biography, Drama, History",7.8,74.0,200876,169607287.0,58723043.979617,7.6
Paddington 2,2017.0,U,103,"Adventure, Comedy, Family",7.8,88.0,61594,40442052.0,25397430.402546763,8.3
Kubo and the Two Strings,2016.0,PG,101,"Animation, Action, Adventure",7.8,84.0,118035,48023088.0,38901910.20541728,8.1
M.S. Dhoni: The Untold Story,2016.0,U,184,"Biography, Drama, Sport",7.8,77.97153024911032,40416,1782795.0,20330229.728122234,7.798576512455515
Manchester by the Sea,2016.0,UA,137,Drama,7.8,96.0,246963,47695120.0,69750151.23630798,8.7
Under sandet,2015.0,R,100,"Drama, History, War",7.8,75.0,35539,435266.0,19163323.613797545,7.65
Rogue One,2016.0,UA,133,"Action, Adventure, Sci-Fi",7.8,65.0,556608,532177324.0,143838042.10570884,7.15
Captain America: Civil War,2016.0,UA,147,"Action, Adventure, Sci-Fi",7.8,75.0,663649,408084349.0,169449442.02029347,7.65
The Hateful Eight,2015.0,A,168,"Crime, Drama, Mystery",7.8,68.0,517059,54117416.0,134375263.77570534,7.3
Little Women,2019.0,U,135,"Drama, Romance",7.8,91.0,143250,108101214.0,44935032.549624205,8.45
Loving Vincent,2017.0,UA,94,"Animation, Biography, Crime",7.8,62.0,50778,6735118.0,22809516.41186893,7.0
Le pass茅,2013.0,PG-13,130,"Drama, Mystery",7.8,85.0,45002,1330596.0,21427509.08844483,8.15
The Lunchbox,2013.0,U,104,"Drama, Romance",7.8,76.0,50523,4231500.0,22748503.27691865,7.699999999999999
Vicky Donor,2012.0,UA,126,"Comedy, Romance",7.8,77.97153024911032,39710,169209.0,20161307.0878284,7.798576512455515
Big Hero 6,2014.0,U,102,"Animation, Action, Adventure",7.8,74.0,410983,222527828.0,108994756.70514846,7.6
About Time,2013.0,R,123,"Comedy, Drama, Fantasy",7.8,55.0,303032,15322921.0,83165623.64230978,6.65
English Vinglish,2012.0,U,134,"Comedy, Drama, Family",7.8,77.97153024911032,33618,1670773.0,18703691.330505013,7.798576512455515
Kaze tachinu,2013.0,PG-13,126,"Animation, Biography, Drama",7.8,83.0,73690,5209580.0,28291606.403955694,8.05
Toy Story 4,2019.0,U,100,"Animation, Adventure, Comedy",7.8,84.0,203177,434038008.0,59273597.79734528,8.1
La migliore offerta,2013.0,R,131,"Crime, Drama, Mystery",7.8,49.0,108399,85433.0,36596331.50588226,6.35
Moonrise Kingdom,2012.0,A,94,"Comedy, Drama, Romance",7.8,84.0,318789,45512466.0,86935756.84784889,8.1
How to Train Your Dragon 2,2014.0,U,102,"Animation, Action, Adventure",7.8,76.0,305611,177002924.0,83782693.74049377,7.699999999999999
The Big Short,2015.0,A,130,"Biography, Comedy, Drama",7.8,81.0,362942,70259870.0,97500121.34770083,7.949999999999999
The Girl with the Dragon Tattoo,2011.0,R,158,"Crime, Drama, Mystery",7.8,71.0,423010,102515793.0,111872423.27004148,7.449999999999999
Captain Phillips,2013.0,UA,134,"Adventure, Biography, Crime",7.8,82.0,421244,107100855.0,111449877.40211092,8.0
