Series_Title,Released_Year,Certificate,Runtime,Genre,IMDB_Rating,Meta_score,No_of_Votes,Gross,Predicted_Gross,Rating_Score
1917,2019.0,R,119,"Drama, Thriller, War",8.3,78.0,425844,159227644.0,51112974.15651047,8.05
Andhadhun,2018.0,UA,139,"Crime, Drama, Music",8.3,77.97153024911032,71875,1373943.0,-33580195.903238535,8.048576512455515
Jagten,2012.0,R,115,Drama,8.3,77.0,281623,687185.0,16605619.898970842,8.0
Jodaeiye Nader az Simin,2011.0,PG-13,123,Drama,8.3,95.0,220002,7098492.0,1861736.021422863,8.9
Incendies,2010.0,R,131,"Drama, Mystery, War",8.3,80.0,150023,6857096.0,-14881943.079320908,8.15
Inglourious Basterds,2009.0,A,153,"Adventure, Drama, War",8.3,69.0,1267869,120540719.0,252581934.77046287,7.6
Eternal Sunshine of the Spotless Mind,2004.0,UA,108,"Drama, Romance, Sci-Fi",8.3,89.0,911664,34400301.0,167353763.260718,8.600000000000001
Am茅lie,2001.0,U,122,"Comedy, Romance",8.3,69.0,703810,33225499.0,117621119.52751245,7.6
Snatch,2000.0,UA,104,"Comedy, Crime",8.3,55.0,782001,30328156.0,136329660.84085286,6.9
Requiem for a Dream,2000.0,A,102,Drama,8.3,68.0,766870,3635482.0,132709308.89993703,7.550000000000001
American Beauty,1999.0,UA,122,Drama,8.3,84.0,1069738,130096601.0,205175685.98283425,8.350000000000001
Good Will Hunting,1997.0,U,126,"Drama, Romance",8.3,70.0,861606,138433435.0,155376525.96917295,7.65
Bacheha-Ye aseman,1997.0,PG,89,"Drama, Family, Sport",8.3,77.0,65341,933933.0,-35143567.76114237,8.0
Toy Story,1995.0,U,81,"Animation, Adventure, Comedy",8.3,95.0,887429,191796233.0,161555122.76847708,8.9
Braveheart,1995.0,A,178,"Biography, Drama, History",8.3,68.0,959181,75600000.0,178723022.6075226,7.550000000000001
Reservoir Dogs,1992.0,R,99,"Crime, Drama, Thriller",8.3,79.0,918562,2832029.0,169004228.3779236,8.100000000000001
Full Metal Jacket,1987.0,UA,116,"Drama, War",8.3,76.0,675146,46357676.0,110762764.62470268,7.95
Aliens,1986.0,U,137,"Action, Adventure, Sci-Fi",8.3,84.0,652719,85160248.0,105396719.22261952,8.350000000000001
Amadeus,1984.0,R,160,"Biography, Drama, History",8.3,88.0,369007,51973029.0,37513744.544070005,8.55
Scarface,1983.0,A,170,"Crime, Drama",8.3,65.0,740911,45598982.0,126498171.7619927,7.4
Star Wars: Episode VI - Return of the Jedi,1983.0,U,131,"Action, Adventure, Fantasy",8.3,58.0,950470,309125409.0,176638766.0641799,7.050000000000001
Das Boot,1981.0,R,149,"Adventure, Drama, Thriller",8.3,86.0,231855,11487676.0,4697770.094231963,8.45
Taxi Driver,1976.0,A,114,"Crime, Drama",8.3,94.0,724636,28262574.0,122604098.14898586,8.850000000000001
The Sting,1973.0,U,129,"Comedy, Crime, Drama",8.3,83.0,241513,159600000.0,7008612.672076583,8.3
